PERMIS,ACV,SEX,STATUT,CSP,USAGE,AGECOND,K8000,RM,CAR,CLA,ALI,ENE,VIT,SEGM,CHARGE,GARAGE
151,10,M,C,50,1,31,N,118,BER,E,INJ,GO,140-150,B,0.0,3
67,10,M,C,50,2,26,N,90,BER,E,INJ,GO,150-160,B,0.0,3
255,10,M,A,50,1,39,N,57,BER,E,CAR,ES,150-160,B,0.0,3
56,9,M,A,50,1,30,N,90,BER,E,INJ,ES,150-160,B,0.0,3
168,10,M,A,50,1,33,O,60,BER,E,INJ,ES,150-160,B,0.0,2
274,5,M,A,50,3,41,N,97,BER,E,INJ,ES,150-160,B,3310.546224,3
275,4,M,A,50,1,44,N,95,BER,E,INJ,ES,160-170,B,0.0,3
185,10,M,A,50,3,35,N,72,BER,E,INJ,GO,140-150,B,0.0,3
336,9,M,A,60,1,74,N,50,BER,E,INJ,ES,150-160,B,0.0,3
712,9,M,A,60,1,89,N,55,BER,E,INJ,ES,150-160,B,0.0,1
86,10,M,C,55,2,26,N,100,BER,E,CAR,ES,150-160,B,0.0,2
390,4,M,C,55,2,52,N,76,BER,E,INJ,ES,160-170,B,0.0,3
468,7,M,A,1,3,57,N,67,BER,E,INJ,ES,150-160,B,0.0,3
155,10,M,A,42,2,37,N,76,BER,E,CAR,ES,150-160,B,0.0,3
385,10,M,A,50,2,60,N,53,BER,E,CAR,ES,140-150,0,0.0,3
115,10,M,A,50,1,34,N,95,BER,E,CAR,ES,150-160,B,0.0,3
159,10,M,A,50,2,41,N,60,BER,E,CAR,ES,150-160,B,0.0,3
147,9,M,A,50,1,31,N,64,BER,E,INJ,ES,140-150,B,0.0,3
106,5,M,A,50,2,27,N,64,BER,E,INJ,ES,150-160,B,0.0,3
203,3,M,A,50,2,38,O,68,BER,E,INJ,ES,150-160,B,0.0,3
404,5,M,A,50,1,56,N,58,BER,E,INJ,ES,150-160,B,0.0,3
339,10,M,A,50,1,50,N,72,BER,E,INJ,ES,160-170,B,0.0,1
364,0,M,A,50,2,58,N,50,BER,E,INJ,ES,160-170,A,0.0,3
300,10,M,A,50,2,50,O,90,BER,E,INJ,GO,140-150,B,0.0,3
511,10,M,A,60,1,69,O,106,BER,E,INJ,ES,160-170,B,0.0,3
270,3,M,C,1,3,40,N,76,BER,E,INJ,ES,160-170,B,0.0,3
80,9,M,C,50,2,24,N,106,BER,E,INJ,ES,140-150,A,0.0,3
63,1,M,C,50,2,23,N,95,BER,E,INJ,ES,170-180,M1,155.8350453,3
137,9,M,C,50,2,29,N,90,BER,E,INJ,GO,150-160,B,0.0,3
153,10,M,C,50,1,33,O,90,BER,E,INJ,GO,150-160,B,0.0,3
242,10,M,C,55,2,43,N,50,BER,E,CAR,ES,150-160,B,0.0,3
426,2,M,C,55,1,55,N,50,BER,E,INJ,ES,160-170,A,0.0,2
232,5,M,A,1,1,38,N,60,BER,E,INJ,ES,160-170,B,0.0,2
399,10,M,A,1,3,57,N,50,BER,E,INJ,ES,160-170,B,0.0,3
212,10,M,A,37,1,39,N,90,BER,E,CAR,ES,150-160,M1,0.0,3
13,10,M,A,50,1,32,N,125,BER,E,CAR,ES,150-160,B,0.0,3
193,10,M,A,50,1,34,O,85,BER,E,CAR,ES,150-160,M1,0.0,3
151,10,M,A,50,2,43,N,72,BER,E,CAR,ES,150-160,B,0.0,3
172,10,M,A,50,1,50,N,106,BER,E,CAR,ES,150-160,M1,0.0,3
335,10,M,A,50,2,54,N,50,BER,E,CAR,ES,150-160,B,0.0,3
390,10,M,A,50,2,52,O,50,BER,E,CAR,ES,160-170,B,0.0,3
173,7,M,A,50,2,33,O,64,BER,E,INJ,ES,160-170,B,0.0,3
178,9,M,A,50,2,36,O,64,BER,E,INJ,ES,160-170,B,0.0,3
414,1,M,A,50,2,55,N,50,BER,E,INJ,ES,160-170,A,70.98942598,3
273,10,M,A,50,2,49,O,50,BER,E,INJ,GO,140-150,B,0.0,2
108,9,M,A,50,2,29,N,90,BER,E,INJ,GO,150-160,B,1418.610272,3
434,10,M,A,55,2,54,N,72,BER,E,CAR,ES,140-150,M1,0.0,3
310,10,M,A,55,1,44,N,80,BER,E,CAR,ES,150-160,B,0.0,3
596,2,M,A,55,2,71,N,50,BER,E,INJ,ES,160-170,A,0.0,2
483,5,M,A,60,1,66,N,50,BER,E,INJ,ES,150-160,B,1733.626586,3
85,10,M,C,50,2,27,O,95,BER,E,CAR,ES,150-160,M1,0.0,3
138,10,M,C,50,2,29,N,80,BER,E,CAR,ES,150-160,B,0.0,3
142,10,M,C,50,2,32,N,95,BER,E,INJ,ES,140-150,A,0.0,3
211,10,M,C,50,2,36,N,95,BER,E,INJ,ES,140-150,B,0.0,3
237,2,M,C,50,1,38,N,85,BER,E,INJ,ES,160-170,A,0.0,3
407,2,M,C,60,1,82,O,50,BER,E,INJ,ES,160-170,A,0.0,3
368,7,F,A,50,1,50,N,63,BER,E,INJ,ES,150-160,A,0.0,3
60,1,F,C,50,2,32,N,85,BER,E,INJ,ES,150-160,B,97.32326284,1
320,7,F,A,50,1,45,N,50,BER,E,INJ,ES,150-160,A,461.48429,3
542,9,F,A,60,1,71,O,50,BER,E,INJ,ES,140-150,B,0.0,3
143,4,F,A,50,2,30,N,76,BER,E,INJ,ES,150-160,B,0.0,3
286,10,F,A,50,1,44,N,112,BER,E,INJ,GO,150-160,B,0.0,3
372,2,F,A,60,1,71,N,55,BER,E,INJ,ES,160-170,A,0.0,3
105,4,F,C,50,1,32,N,64,BER,E,INJ,ES,150-160,B,1562.356495,1
112,3,F,A,26,2,27,N,60,BER,E,INJ,ES,150-160,B,0.0,3
253,2,F,A,50,2,40,O,50,BER,E,INJ,ES,160-170,A,0.0,2
113,10,F,C,50,2,28,O,90,BER,E,CAR,ES,160-170,B,0.0,3
28,10,F,C,50,2,30,N,90,BER,E,INJ,ES,160-170,B,0.0,3
256,5,F,C,50,3,41,N,64,BER,E,INJ,ES,150-160,M1,0.0,3
250,3,F,C,50,1,44,N,50,BER,E,INJ,ES,150-160,A,0.0,3
118,10,F,A,50,2,31,N,95,BER,E,CAR,ES,150-160,B,0.0,3
552,1,F,A,60,1,67,N,50,BER,E,INJ,ES,160-170,B,0.0,3
552,7,F,A,66,1,72,O,76,BER,E,INJ,ES,140-150,A,0.0,2
260,2,F,A,55,1,44,N,67,BER,E,INJ,ES,160-170,B,0.0,3
49,0,F,C,50,1,26,N,90,BER,E,INJ,ES,160-170,A,0.0,1
502,7,M,A,20,3,63,N,50,BER,E,INJ,ES,140-150,A,0.0,3
217,7,M,A,50,2,37,O,80,BER,E,INJ,ES,140-150,B,0.0,3
302,7,M,C,42,1,43,O,76,BER,E,INJ,ES,150-160,B,0.0,3
108,10,M,C,50,2,32,O,90,BER,E,CAR,ES,150-160,B,0.0,3
292,10,M,A,50,2,46,N,59,BER,E,INJ,ES,160-170,B,0.0,3
172,9,M,A,50,2,33,N,68,BER,E,INJ,ES,150-160,B,0.0,3
134,7,M,C,55,2,30,N,95,BER,E,INJ,ES,150-160,B,2668.283384,3
407,7,M,A,50,2,53,N,50,BER,E,INJ,ES,160-170,B,0.0,3
98,2,F,A,50,2,26,N,64,BER,E,INJ,ES,160-170,A,0.0,3
55,9,F,A,50,2,43,N,80,BER,E,INJ,ES,150-160,B,0.0,3
507,9,M,A,42,2,60,N,74,BER,E,INJ,ES,150-160,B,0.0,3
267,1,F,C,50,2,41,O,57,BER,E,INJ,ES,160-170,A,0.0,2
27,10,F,C,50,2,48,N,118,BER,E,CAR,ES,160-170,B,0.0,1
288,2,M,A,48,3,81,N,50,BER,E,INJ,ES,160-170,A,0.0,3
520,10,M,A,1,2,71,N,50,BER,E,CAR,ES,150-160,B,0.0,3
462,10,F,A,55,1,59,O,51,BER,E,INJ,ES,160-170,B,0.0,3
126,10,F,A,55,2,32,N,95,BER,E,INJ,GO,150-160,B,0.0,3
383,2,F,A,50,1,50,N,50,BER,E,INJ,ES,160-170,A,0.0,2
360,2,F,A,50,1,55,O,60,BER,E,INJ,ES,160-170,B,0.0,2
411,7,M,A,55,2,62,N,50,BER,E,INJ,ES,160-170,B,0.0,3
465,5,M,A,37,1,59,N,50,BER,E,INJ,ES,150-160,B,0.0,3
108,10,M,C,50,4,27,N,58,BER,E,CAR,ES,160-170,B,0.0,3
98,9,F,A,50,2,26,O,60,BER,E,INJ,GO,150-160,B,0.0,3
127,3,M,A,50,2,29,N,100,BER,E,INJ,ES,150-160,A,0.0,3
141,7,F,A,55,1,41,O,51,BER,E,INJ,ES,140-150,B,0.0,3
144,9,M,A,50,2,48,N,80,BER,E,INJ,ES,160-170,B,0.0,2
32,10,F,C,50,1,21,N,95,BER,E,CAR,ES,140-150,B,0.0,3
237,9,F,C,50,1,38,O,56,BER,E,INJ,ES,160-170,B,0.0,3
179,5,F,C,50,2,33,N,50,BER,E,INJ,ES,150-160,B,0.0,3
404,9,F,A,55,1,53,N,50,BER,E,INJ,ES,140-150,B,0.0,3
505,5,F,A,60,1,60,N,78,BER,E,INJ,ES,150-160,B,0.0,3
86,10,M,A,50,1,29,N,90,BER,E,CAR,ES,150-160,B,0.0,3
121,9,F,C,50,2,28,O,72,BER,E,INJ,ES,140-150,A,0.0,3
339,7,M,A,42,3,46,N,50,BER,E,INJ,ES,140-150,A,0.0,3
257,9,F,A,1,1,42,O,59,BER,E,INJ,ES,140-150,A,0.0,2
152,7,F,A,50,2,52,N,85,BER,E,INJ,ES,140-150,B,0.0,3
326,1,F,A,50,2,46,N,63,BER,E,INJ,ES,160-170,A,0.0,3
302,7,M,C,50,3,43,N,50,BER,E,INJ,ES,140-150,B,0.0,3
108,10,M,C,50,2,31,N,100,BER,E,INJ,ES,150-160,B,0.0,3
616,10,M,A,60,1,71,O,50,BER,E,CAR,ES,160-170,B,0.0,3
276,5,M,A,50,2,47,N,80,BER,E,INJ,ES,150-160,B,0.0,3
291,10,M,C,50,2,45,N,50,BER,E,CAR,ES,140-150,B,0.0,3
229,0,M,C,50,2,38,N,90,BER,E,INJ,ES,160-170,B,1140.991541,1
1,5,F,C,50,2,22,N,100,BER,E,INJ,ES,150-160,A,0.0,3
150,2,M,C,50,2,30,N,100,BER,E,INJ,ES,150-160,B,0.0,3
217,4,F,A,50,3,36,N,50,BER,E,INJ,ES,150-160,B,0.0,3
516,2,M,A,60,1,85,N,50,BER,E,INJ,ES,150-160,A,1562.356495,3
403,2,F,A,55,2,54,N,125,BER,E,INJ,ES,160-170,A,0.0,2
134,5,F,A,55,3,29,N,80,BER,E,INJ,ES,150-160,B,0.0,3
120,9,F,A,50,2,28,N,64,BER,E,CAR,ES,150-160,B,317.702719,3
270,2,M,C,1,2,48,N,50,BER,E,INJ,ES,170-180,A,0.0,2
199,4,M,C,55,2,36,N,68,BER,E,INJ,ES,150-160,B,0.0,3
360,10,M,C,50,3,50,N,118,BER,E,CAR,ES,150-160,B,0.0,3
65,4,F,C,50,2,23,N,80,BER,E,INJ,ES,160-170,B,0.0,2
252,9,F,A,50,1,39,N,50,BER,E,INJ,ES,150-160,B,0.0,3
274,9,M,A,50,2,41,N,100,BER,E,INJ,GO,150-160,B,0.0,3
475,1,M,A,1,3,57,N,50,BER,E,INJ,ES,160-170,A,0.0,3
378,10,F,C,55,2,51,O,50,BER,F,CAR,ES,160-170,M1,0.0,2
239,10,F,A,50,3,64,N,62,BER,F,CAR,ES,170-180,M1,0.0,3
367,10,F,A,50,2,52,O,50,BER,F,CAR,ES,160-170,B,0.0,3
403,3,F,A,37,1,53,N,50,BER,F,INJ,ES,150-160,A,0.0,3
138,2,F,A,1,3,30,N,57,BER,F,INJ,ES,150-160,B,0.0,3
173,2,F,A,50,2,48,N,64,BER,F,INJ,ES,160-170,B,0.0,3
457,1,F,A,50,1,59,N,50,BER,F,INJ,ES,150-160,B,0.0,3
104,7,F,C,50,2,26,N,85,BER,F,INJ,GO,160-170,B,0.0,3
154,7,F,A,55,2,31,N,51,BER,F,INJ,ES,170-180,B,0.0,3
113,7,F,C,50,3,27,N,72,BER,F,INJ,GO,150-160,B,0.0,3
394,10,F,A,46,1,51,N,50,BER,F,INJ,GO,150-160,B,0.0,3
442,10,F,A,50,1,57,O,50,BER,F,INJ,ES,170-180,B,0.0,3
565,1,F,A,60,1,65,N,50,BER,F,INJ,ES,160-170,B,0.0,3
322,0,F,A,42,2,54,N,59,BER,F,INJ,ES,160-170,A,0.0,3
197,2,F,A,50,3,42,N,50,BER,F,INJ,ES,170-180,B,941.5848943,1
257,2,F,A,50,1,57,N,50,BER,F,INJ,ES,170-180,B,0.0,2
648,1,F,A,60,1,73,N,58,BER,F,INJ,ES,160-170,B,325.4202417,2
630,3,F,A,60,1,74,N,50,BER,F,INJ,GO,150-160,B,4948.451964,3
75,7,F,C,26,2,25,N,80,BER,F,INJ,ES,150-160,B,382.0350453,3
461,3,F,C,50,2,56,O,68,BER,F,INJ,ES,160-170,B,4326.52568,3
225,2,F,A,50,2,37,O,50,BER,F,INJ,ES,150-160,B,367.4601208,3
427,2,F,A,50,1,57,N,50,BER,F,INJ,ES,150-160,B,0.0,2
334,5,F,A,50,2,47,N,132,BER,F,INJ,ES,170-180,A,0.0,3
457,3,F,A,50,1,56,N,50,BER,F,INJ,ES,150-160,A,0.0,3
414,2,F,A,40,2,60,N,50,BER,F,INJ,ES,160-170,B,0.0,1
343,10,F,A,50,1,47,N,54,BER,F,INJ,ES,160-170,B,0.0,3
333,2,M,A,50,2,54,N,50,BER,F,INJ,ES,160-170,B,0.0,3
41,10,M,A,50,1,42,N,112,BER,F,CAR,ES,170-180,M1,0.0,3
517,10,M,A,55,2,62,O,53,BER,F,CAR,ES,150-160,0,0.0,3
391,2,M,A,50,2,51,N,50,BER,F,INJ,ES,160-170,B,0.0,3
652,3,M,A,60,1,78,N,50,BER,F,INJ,ES,160-170,A,0.0,3
224,10,M,A,50,2,39,N,68,BER,F,CAR,ES,170-180,B,0.0,3
286,7,M,C,1,3,43,N,72,BER,F,INJ,ES,140-150,A,0.0,3
179,3,M,A,48,1,34,N,59,BER,F,INJ,ES,150-160,A,0.0,3
89,9,M,A,50,1,30,O,72,BER,F,INJ,ES,150-160,B,0.0,3
144,4,M,A,50,2,30,N,85,BER,F,INJ,ES,170-180,B,328.1891239,3
130,3,M,A,55,1,29,N,76,BER,F,INJ,ES,150-160,B,0.0,3
459,3,M,A,55,1,57,N,50,BER,F,INJ,ES,150-160,A,0.0,3
75,1,M,C,55,2,29,N,95,BER,F,INJ,GO,160-170,M1,0.0,3
151,10,M,A,50,1,53,N,64,BER,F,CAR,ES,150-160,B,0.0,3
367,2,M,A,50,2,48,N,50,BER,F,INJ,ES,150-160,B,0.0,3
340,0,M,A,1,3,47,N,85,BER,F,INJ,ES,150-160,B,0.0,3
105,9,M,A,55,2,27,N,57,BER,F,INS,GO,160-170,B,0.0,2
109,10,M,C,50,2,27,N,90,BER,F,INJ,GO,150-160,M1,0.0,3
112,7,M,C,50,2,28,N,100,BER,F,INJ,GO,150-160,B,0.0,2
280,10,M,C,55,1,43,O,50,BER,F,INJ,ES,150-160,B,0.0,3
259,10,M,A,37,1,39,N,50,BER,F,CAR,ES,150-160,B,0.0,3
336,10,M,A,50,2,59,N,50,BER,F,CAR,ES,170-180,B,0.0,3
218,7,M,A,55,2,38,N,59,BER,F,INJ,GO,150-160,B,0.0,3
167,4,M,C,50,2,32,N,106,BER,F,INJ,GO,160-170,B,0.0,3
393,10,M,A,46,1,54,N,50,BER,F,INJ,ES,170-180,B,0.0,3
113,5,M,A,50,2,28,N,76,BER,F,INJ,ES,150-160,B,0.0,3
267,0,M,A,50,2,44,N,85,BER,F,INJ,ES,160-170,A,0.0,3
533,3,M,A,60,1,64,N,50,BER,F,INJ,ES,170-180,B,0.0,3
172,3,M,C,50,2,34,N,95,BER,F,INJ,ES,170-180,B,0.0,1
188,4,M,C,50,2,33,N,76,BER,F,INJ,ES,180-190,B,0.0,3
129,9,M,A,1,1,29,N,90,BER,F,INJ,ES,150-160,B,0.0,3
49,10,M,A,50,2,27,N,85,BER,F,INJ,GO,150-160,B,0.0,3
25,9,M,C,50,1,44,N,90,BER,F,INJ,ES,160-170,B,0.0,3
430,10,M,A,50,2,58,N,50,BER,F,INJ,ES,150-160,B,0.0,3
137,7,M,A,50,1,42,N,80,BER,F,INJ,ES,160-170,M1,0.0,2
441,1,M,A,60,1,74,N,90,BER,F,INJ,ES,160-170,A,1506.648943,3
131,5,M,C,55,2,35,N,72,BER,F,INJ,ES,160-170,B,0.0,3
161,10,F,C,55,2,31,N,106,BER,F,INS,GO,150-160,M1,0.0,3
372,10,F,A,50,1,49,O,50,BER,F,CAR,ES,170-180,B,0.0,3
51,4,F,A,50,1,27,O,100,BER,F,INJ,GO,150-160,A,0.0,2
94,3,F,C,26,2,27,N,139,BER,F,INJ,ES,150-160,A,802.5280967,3
82,9,F,A,1,1,33,O,72,BER,F,INJ,ES,140-150,A,0.0,2
133,3,F,A,48,2,46,N,57,BER,F,INJ,ES,150-160,B,0.0,3
60,5,F,C,26,2,23,N,76,BER,F,INJ,ES,160-170,B,0.0,3
232,5,F,C,50,2,41,N,50,BER,F,INJ,ES,160-170,B,1691.032931,3
493,2,F,A,46,2,61,N,50,BER,F,INJ,ES,160-170,B,0.0,3
192,10,F,A,50,1,47,O,90,BER,F,CAR,ES,170-180,B,0.0,3
305,10,F,A,50,1,45,N,50,BER,F,INJ,ES,170-180,B,0.0,3
348,3,F,A,50,1,48,N,50,BER,F,INJ,ES,170-180,B,0.0,3
374,5,F,A,50,1,51,N,78,BER,F,INJ,GO,150-160,B,1418.610272,3
418,10,F,A,60,1,60,O,50,BER,F,CAR,ES,170-180,B,0.0,1
600,7,F,A,60,1,80,N,72,BER,F,INJ,ES,160-170,B,897.6480363,3
113,3,F,C,26,2,29,N,112,BER,F,INJ,ES,150-160,B,1597.633233,2
250,4,F,C,50,2,39,N,50,BER,F,INJ,ES,150-160,A,0.0,1
467,4,F,C,50,1,57,N,50,BER,F,INJ,ES,160-170,B,0.0,3
419,10,F,C,60,1,75,O,50,BER,F,CAR,ES,160-170,B,0.0,3
468,10,F,C,60,1,78,N,50,BER,F,CAR,ES,160-170,B,0.0,3
578,9,F,C,60,1,78,O,50,BER,F,INJ,ES,160-170,M1,0.0,3
410,0,F,A,1,3,55,N,64,BER,F,INJ,ES,160-170,A,0.0,3
329,10,F,A,50,2,70,N,50,BER,F,CAR,ES,150-160,M1,0.0,3
151,7,F,A,50,1,39,O,80,BER,F,INJ,ES,150-160,B,0.0,1
526,2,F,A,50,2,62,N,50,BER,F,INJ,ES,150-160,M1,0.0,3
180,7,F,A,50,2,34,N,50,BER,F,INJ,ES,160-170,B,0.0,3
410,2,F,C,50,2,54,N,50,BER,F,INJ,ES,160-170,B,0.0,3
206,10,F,C,50,2,37,N,90,BER,F,INJ,ES,170-180,B,0.0,3
404,1,F,C,60,1,62,N,125,BER,F,INJ,ES,160-170,B,922.1673716,3
527,2,F,A,48,3,69,N,68,BER,F,INJ,ES,160-170,B,0.0,3
466,10,F,A,50,2,59,O,50,BER,F,CAR,ES,170-180,B,0.0,3
14,2,F,A,50,2,28,N,95,BER,F,INJ,ES,150-160,B,0.0,3
437,1,F,A,50,3,54,N,50,BER,F,INJ,ES,160-170,A,0.0,3
604,2,F,A,50,1,69,N,50,BER,F,INJ,ES,160-170,B,0.0,3
136,3,F,A,50,2,30,O,100,BER,F,INJ,ES,170-180,B,1418.610272,3
338,3,F,A,60,1,63,N,51,BER,F,INJ,ES,150-160,B,0.0,3
547,2,F,A,60,1,79,N,50,BER,F,INJ,ES,150-160,B,176.3954683,3
57,10,F,C,26,2,23,N,85,BER,F,CAR,ES,160-170,B,0.0,3
31,3,F,C,26,2,22,N,90,BER,F,INJ,ES,160-170,A,165.0253776,3
202,10,F,C,37,1,35,N,95,BER,F,CAR,ES,150-160,B,0.0,2
78,10,F,C,50,2,27,N,85,BER,F,CAR,ES,160-170,M1,0.0,3
171,3,F,C,50,3,32,N,60,BER,F,INJ,ES,140-150,A,0.0,3
156,2,F,C,50,1,31,N,90,BER,F,INJ,GO,150-160,A,0.0,1
51,10,F,A,50,1,29,N,90,BER,F,CAR,ES,170-180,B,0.0,3
117,10,F,A,50,2,29,N,95,BER,F,INJ,ES,150-160,B,0.0,3
268,4,F,A,50,2,42,N,64,BER,F,INJ,ES,150-160,B,0.0,3
295,5,F,A,50,2,42,N,58,BER,F,INJ,ES,160-170,B,0.0,3
448,5,F,A,50,2,57,N,62,BER,F,INJ,ES,160-170,B,1674.52568,3
725,10,F,A,60,1,82,N,50,BER,F,CAR,ES,150-160,M1,0.0,3
548,4,F,A,60,1,73,N,77,BER,F,INJ,ES,160-170,B,4326.52568,3
107,4,F,C,50,2,27,N,64,BER,F,INJ,ES,160-170,B,0.0,3
161,4,F,A,50,2,31,N,50,BER,F,INJ,ES,140-150,A,0.0,3
328,2,F,A,50,1,48,O,50,BER,F,INJ,ES,150-160,A,0.0,3
367,5,F,A,50,2,49,N,65,BER,F,INJ,ES,150-160,B,0.0,3
264,10,F,A,50,1,40,N,95,BER,F,INJ,ES,160-170,M1,0.0,2
292,1,F,A,37,1,41,N,95,BER,F,INJ,ES,160-170,A,4326.52568,3
517,5,F,A,50,1,62,N,50,BER,F,INJ,ES,160-170,M1,0.0,3
187,9,F,A,55,1,33,N,95,BER,F,INJ,GO,150-160,B,0.0,3
49,10,F,C,50,2,25,N,80,BER,F,CAR,ES,170-180,B,0.0,3
226,9,F,C,50,1,38,N,85,BER,F,INJ,ES,140-150,B,0.0,3
602,1,F,C,60,1,71,N,50,BER,F,INJ,ES,160-170,B,0.0,3
192,10,F,A,50,2,34,N,55,BER,F,CAR,ES,160-170,B,0.0,3
437,9,F,A,50,2,58,N,62,BER,F,CAR,ES,170-180,B,0.0,3
133,7,F,A,50,1,32,N,72,BER,F,INJ,ES,140-150,A,0.0,3
142,10,F,A,50,1,31,N,90,BER,F,INJ,ES,150-160,B,0.0,3
109,2,F,A,50,2,27,N,100,BER,F,INJ,ES,160-170,B,1418.610272,3
112,7,F,A,50,3,29,N,60,BER,F,INJ,ES,160-170,B,0.0,1
141,9,F,A,50,2,29,N,60,BER,F,INJ,ES,170-180,B,0.0,2
92,10,F,A,50,1,25,N,68,BER,F,INJ,GO,150-160,B,0.0,2
399,5,F,A,60,1,81,N,77,BER,F,INJ,ES,160-170,B,0.0,3
115,10,F,C,26,2,28,N,90,BER,F,INJ,ES,170-180,B,0.0,3
71,10,F,C,42,2,25,N,95,BER,F,INJ,ES,170-180,B,0.0,3
174,10,F,C,50,2,33,N,90,BER,F,CAR,ES,170-180,B,0.0,3
97,10,F,C,50,2,41,N,85,BER,F,CAR,ES,170-180,B,0.0,3
51,4,F,C,50,3,28,N,95,BER,F,INJ,ES,150-160,B,0.0,3
66,2,F,C,50,3,29,N,100,BER,F,INJ,ES,150-160,B,0.0,3
145,9,F,C,50,1,30,O,51,BER,F,INJ,ES,150-160,B,0.0,3
242,10,F,C,50,2,38,N,72,BER,F,INJ,ES,150-160,B,0.0,3
168,0,F,C,50,2,32,N,95,BER,F,INJ,ES,160-170,B,0.0,2
111,1,F,C,50,2,36,N,90,BER,F,INJ,ES,160-170,B,2742.948943,2
259,5,F,C,50,2,41,N,76,BER,F,INJ,ES,160-170,B,63.1305136,3
105,10,F,C,50,1,34,N,90,BER,F,INJ,ES,170-180,B,0.0,3
139,10,F,C,50,3,29,N,64,BER,F,INJ,GO,150-160,B,0.0,3
134,10,F,A,50,2,42,N,95,BER,F,CAR,ES,150-160,B,0.0,3
235,10,F,A,50,1,40,N,85,BER,F,CAR,ES,170-180,M1,0.0,3
238,7,F,A,50,1,38,N,76,BER,F,INJ,ES,150-160,B,0.0,2
332,2,F,A,50,2,46,N,50,BER,F,INJ,ES,160-170,B,0.0,3
375,5,F,A,50,1,51,O,50,BER,F,INJ,ES,160-170,B,0.0,3
391,2,F,A,50,3,51,N,50,BER,F,INJ,ES,160-170,B,0.0,3
159,4,F,A,50,2,34,N,50,BER,F,INJ,ES,170-180,A,0.0,3
121,10,F,A,50,2,30,N,85,BER,F,INJ,GO,150-160,B,0.0,3
202,7,F,A,50,2,45,N,80,BER,F,INJ,GO,150-160,B,0.0,3
146,5,F,A,50,2,30,N,51,BER,F,INJ,GO,160-170,B,4326.52568,3
167,10,F,A,55,2,43,N,50,BER,F,INJ,GO,150-160,B,0.0,2
523,5,F,A,60,1,67,N,50,BER,F,INJ,ES,150-160,B,0.0,2
515,7,F,A,60,1,64,N,50,BER,F,INJ,ES,170-180,B,0.0,3
51,3,F,C,26,2,24,N,85,BER,F,INJ,ES,160-170,B,0.0,1
122,10,F,C,50,1,28,N,90,BER,F,CAR,ES,160-170,B,0.0,3
183,10,F,C,50,3,35,N,50,BER,F,CAR,ES,170-180,B,148.7655589,2
57,1,F,C,50,2,30,N,95,BER,F,INJ,ES,150-160,B,0.0,2
104,2,F,C,50,3,37,N,64,BER,F,INJ,ES,150-160,A,0.0,3
294,1,F,C,50,2,48,N,106,BER,F,INJ,ES,150-160,A,0.0,3
293,7,F,C,50,1,42,N,72,BER,F,INJ,ES,160-170,B,0.0,2
177,4,F,C,50,2,33,N,54,BER,F,INJ,ES,170-180,B,0.0,3
224,3,F,C,50,3,38,N,57,BER,F,INJ,ES,180-190,B,0.0,3
134,10,F,A,50,2,29,N,76,BER,F,CAR,ES,150-160,M1,0.0,3
127,10,F,A,50,2,32,N,85,BER,F,CAR,ES,160-170,B,0.0,3
287,10,F,A,50,2,43,N,50,BER,F,CAR,ES,160-170,B,0.0,3
370,10,F,A,50,2,56,O,50,BER,F,CAR,ES,160-170,B,0.0,3
149,10,F,A,50,1,36,N,51,BER,F,CAR,ES,170-180,B,0.0,3
132,3,F,A,50,2,31,N,57,BER,F,INJ,ES,150-160,B,0.0,3
315,9,F,A,50,1,46,O,83,BER,F,INJ,ES,150-160,B,0.0,3
195,9,F,A,50,1,51,O,60,BER,F,INJ,ES,160-170,B,0.0,2
23,5,F,A,55,1,43,N,95,BER,F,INJ,ES,170-180,M1,0.0,2
420,10,F,A,55,1,53,N,50,BER,F,INJ,GO,150-160,B,0.0,3
665,5,F,A,60,1,84,O,76,BER,F,INJ,ES,160-170,B,3819.643505,3
588,4,F,A,60,1,73,N,50,BER,F,INJ,ES,170-180,A,0.0,3
26,2,F,C,26,2,23,N,118,BER,F,INJ,ES,150-160,B,0.0,3
49,4,F,C,26,2,22,N,80,BER,F,INJ,ES,170-180,B,0.0,3
127,1,F,C,37,1,60,N,81,BER,F,INJ,ES,150-160,A,0.0,3
157,10,F,C,42,2,31,N,85,BER,F,INJ,GO,140-150,B,0.0,3
143,3,F,C,50,2,33,N,90,BER,F,INJ,ES,150-160,B,0.0,3
307,5,F,C,50,2,55,N,50,BER,F,INJ,ES,170-180,M1,0.0,1
121,10,F,C,50,1,32,O,90,BER,F,INJ,GO,150-160,B,0.0,3
142,10,F,C,50,2,34,N,85,BER,F,INJ,GO,150-160,B,0.0,3
269,10,F,A,50,2,49,N,72,BER,F,CAR,ES,160-170,M1,0.0,3
242,10,F,A,50,2,38,N,50,BER,F,INJ,ES,150-160,B,0.0,3
308,1,F,A,50,2,46,N,50,BER,F,INJ,ES,150-160,B,0.0,3
365,3,F,A,50,3,57,N,50,BER,F,INJ,ES,150-160,B,0.0,3
78,7,F,A,50,2,28,N,76,BER,F,INJ,ES,160-170,B,0.0,3
180,1,F,A,50,2,33,O,54,BER,F,INJ,ES,160-170,A,0.0,3
125,10,F,A,50,2,28,N,72,BER,F,INJ,GO,150-160,B,0.0,3
328,10,F,A,55,2,47,N,118,BER,F,CAR,ES,150-160,M1,0.0,3
521,2,F,A,60,1,67,N,104,BER,F,INJ,ES,160-170,B,0.0,3
